udi,air_temp_k,process_temp_k,rot_speed_rpm,torque_nm,tool_wear_min,machine_failure,twf,hdf,pwf,osf
1,305.41,314.11,1676.6,34.09,4.8,0,0,0,0,0
2,301.26,311.10,1260.5,54.52,233.7,1,0,0,0,1
3,301.82,312.38,1640.8,34.54,241.1,0,0,0,0,0
4,301.01,311.26,1330.2,40.55,107.6,0,0,0,0,0
5,301.30,310.49,1550.2,38.88,47.4,0,0,0,0,0
6,299.36,310.05,1560.8,37.49,72.3,0,0,0,0,0
7,298.30,307.66,1609.9,45.49,141.6,0,0,0,0,0
8,301.21,310.45,1713.1,37.74,10.4,0,0,0,0,0
9,295.96,306.02,1532.5,42.73,202.3,0,0,0,0,0
10,301.48,312.43,1334.1,40.90,32.5,0,0,0,0,0
11,301.06,311.38,1456.6,50.52,74.0,0,0,0,0,0
12,298.82,309.75,1608.9,55.93,17.3,1,0,0,1,0
13,300.38,310.85,1396.2,45.96,73.3,0,0,0,0,0
14,298.48,306.47,1866.3,36.44,40.3,0,0,0,0,0
15,298.13,307.80,1764.0,38.02,1.9,0,0,0,0,0
16,301.91,310.94,1497.9,43.88,236.9,0,0,0,0,0
17,300.38,309.76,1615.3,45.00,98.7,0,0,0,0,0
18,303.96,314.46,1489.9,40.31,124.7,0,0,0,0,0
19,305.21,314.80,1874.6,33.86,33.1,0,0,0,0,0
20,301.37,311.98,1205.7,61.16,64.8,0,0,0,0,0
21,300.61,309.31,1718.3,32.09,2.9,0,0,0,0,0
22,303.39,312.62,1315.9,56.20,34.4,0,0,0,0,0
23,296.59,306.62,1568.2,44.73,164.8,0,0,0,0,0
24,297.68,307.31,1732.6,40.69,96.6,0,0,0,0,0
25,299.73,309.96,1453.3,31.22,219.9,0,0,0,0,0
26,300.78,312.18,1402.9,49.48,97.3,0,0,0,0,0
27,300.33,309.78,1411.7,38.04,141.5,0,0,0,0,0
28,300.37,308.61,1541.2,42.87,189.3,0,0,0,0,0
29,301.62,311.02,1524.6,53.11,231.5,1,1,0,0,1
30,300.15,311.09,1329.8,54.41,156.3,0,0,0,0,0
31,301.28,313.46,1286.0,43.77,200.0,0,0,0,0,0
32,300.66,310.23,1434.1,47.79,127.6,0,0,0,0,0
33,299.01,310.03,1441.7,49.61,35.2,0,0,0,0,0
34,298.49,308.74,1521.2,35.59,56.0,0,0,0,0,0
35,298.11,308.56,1585.5,45.83,204.3,0,0,0,0,0
36,300.97,310.72,1404.3,46.55,22.8,0,0,0,0,0
37,299.77,309.35,1843.0,23.81,179.6,0,0,0,0,0
38,303.80,314.91,1930.6,26.82,88.4,0,0,0,0,0
39,300.48,310.27,1662.7,42.39,29.9,0,0,0,0,0
40,303.99,313.94,1595.8,39.06,226.8,0,0,0,0,0
41,298.01,307.78,1351.3,48.28,119.3,0,0,0,0,0
42,300.39,311.77,1623.4,40.00,150.9,0,0,0,0,0
43,297.73,307.13,1490.7,42.90,188.8,0,0,0,0,0
44,300.00,310.55,1604.3,43.86,153.5,0,0,0,0,0
45,302.05,312.14,1396.4,41.27,70.4,0,0,0,0,0
46,299.69,309.64,1500.9,43.37,169.3,0,0,0,0,0
47,299.94,311.45,1401.1,47.97,79.8,0,0,0,0,0
48,301.30,312.34,1411.1,43.13,151.9,0,0,0,0,0
49,304.31,313.30,1335.1,48.48,113.3,0,0,0,0,0
50,298.78,309.15,1605.9,37.44,228.4,0,0,0,0,0
51,298.49,306.93,1662.3,41.50,129.6,0,0,0,0,0
52,299.31,310.06,1242.6,50.18,27.3,0,0,0,0,0
53,300.29,309.57,1157.4,53.01,236.0,1,0,0,0,1
54,299.04,308.18,1649.5,30.33,10.3,0,0,0,0,0
55,301.12,311.07,1625.1,32.40,83.8,0,0,0,0,0
56,302.05,311.27,1761.9,34.62,59.9,0,0,0,0,0
57,298.15,306.92,1339.6,38.20,32.1,0,0,0,0,0
58,303.73,313.84,1801.9,33.35,7.6,0,0,0,0,0
59,297.73,305.97,2094.9,10.23,98.2,1,0,0,1,0
60,301.22,310.86,1458.6,35.12,145.7,0,0,0,0,0
61,300.77,310.26,1150.0,53.08,62.0,0,0,0,0,0
62,304.17,313.86,1278.1,52.31,53.1,0,0,0,0,0
63,299.25,310.42,1719.2,42.66,4.8,0,0,0,0,0
