unit_id,cycle,true_rul,s3_hpc_temp,s4_lpt_temp,s7_hpc_press,s9_core_speed,s11_lpt_press
1,1,211,1584.89,1403.00,553.90,9051.0,47.501
1,2,210,1584.54,1403.53,553.63,9046.8,47.319
1,3,209,1585.76,1404.73,553.34,9048.5,47.413
1,4,208,1584.44,1402.07,553.61,9052.1,47.578
1,5,207,1585.32,1404.11,553.65,9047.9,47.497
1,6,206,1585.23,1403.43,553.49,9049.4,47.423
1,7,205,1585.00,1403.79,553.92,9045.6,47.505
1,8,204,1587.22,1405.07,553.87,9053.1,47.400
1,9,203,1583.73,1404.70,553.64,9045.3,47.406
1,10,202,1584.10,1404.12,553.97,9053.1,47.495
1,11,201,1585.60,1403.81,553.61,9044.7,47.505
1,12,200,1584.86,1403.63,554.15,9046.9,47.492
1,13,199,1585.24,1403.07,553.78,9053.4,47.490
1,14,198,1586.20,1404.30,554.81,9046.8,47.430
1,15,197,1584.95,1402.72,554.11,9053.2,47.451
1,16,196,1584.57,1402.65,553.56,9052.6,47.439
1,17,195,1584.66,1404.45,554.15,9050.9,47.466
1,18,194,1586.10,1404.16,553.71,9052.4,47.437
1,19,193,1584.71,1405.15,553.71,9040.7,47.467
1,20,192,1584.68,1403.74,553.94,9049.4,47.461
1,21,191,1583.38,1403.15,554.22,9049.9,47.366
1,22,190,1584.14,1403.11,553.83,9048.5,47.417
1,23,189,1585.00,1404.43,553.72,9048.0,47.429
1,24,188,1585.27,1403.99,554.03,9046.0,47.411
1,25,187,1585.62,1403.28,554.22,9054.9,47.520
1,26,186,1584.30,1404.07,553.65,9053.2,47.535
1,27,185,1585.70,1404.01,553.69,9052.3,47.389
1,28,184,1585.43,1403.18,553.99,9049.4,47.431
1,29,183,1584.29,1403.68,553.97,9053.7,47.476
1,30,182,1586.09,1406.29,553.70,9049.3,47.378
1,31,181,1585.95,1405.17,553.54,9052.2,47.511
1,32,180,1585.18,1404.76,553.85,9045.7,47.502
1,33,179,1586.06,1404.66,553.51,9047.4,47.393
