time_sec,healthy_accel_g,outer_race_defect_g,inner_race_defect_g
0.0000,-0.2104,3.0955,6.9542
0.0010,0.4264,3.0666,6.4212
0.0020,0.6932,2.9060,4.6611
0.0030,0.5573,2.2727,4.3923
0.0040,0.3426,2.1967,3.9337
0.0050,1.1769,2.8150,3.8880
0.0060,0.5718,1.5729,8.5196
0.0070,0.3969,1.3592,6.8215
0.0080,0.7931,1.1913,5.9592
0.0090,0.1374,4.2139,4.7485
0.0100,0.2214,3.8436,3.2506
0.0110,0.4584,3.0146,2.3655
0.0120,0.2960,2.4154,5.8460
0.0130,-0.0411,1.8855,3.9528
0.0140,-0.1597,1.0605,2.6927
0.0150,0.2375,1.4062,3.0009
0.0160,0.0908,0.8859,1.3301
0.0170,0.4028,1.5878,2.2793
0.0180,-0.0170,3.8186,3.0584
0.0190,-0.1592,3.3979,2.4086
0.0200,-0.1525,2.6274,1.7966
0.0210,-0.3592,2.5480,0.9458
0.0220,-0.2404,1.6547,1.1195
0.0230,-1.0619,0.5570,0.0891
0.0240,-0.2437,1.3250,4.8001
0.0250,-0.9087,0.0641,2.9291
0.0260,-1.0370,-0.2421,2.1577
0.0270,-0.6868,3.8184,1.9442
0.0280,-0.7222,3.0005,1.3187
0.0290,-0.8235,1.5880,0.7144
0.0300,-0.8384,1.8090,7.1685
0.0310,-0.5516,1.5522,6.3101
0.0320,0.0274,1.5808,5.4280
0.0330,-0.3182,0.6982,3.6406
0.0340,0.3649,1.2664,4.2091
0.0350,0.4404,1.2163,3.1707
0.0360,0.6544,5.2527,10.0914
0.0370,0.4386,4.0203,7.9972
0.0380,0.5394,3.1900,6.7078
0.0390,0.7557,2.9351,5.7617
0.0400,0.4523,2.3645,4.8520
0.0410,0.8052,2.2200,4.0149
0.0420,0.4301,2.0998,7.3071
0.0430,0.6484,1.9024,5.5165
0.0440,0.0543,0.7473,4.7838
0.0450,0.5373,5.0852,4.0693
0.0460,0.3323,3.7588,3.1988
0.0470,0.0179,2.5158,2.3895
0.0480,0.0044,2.4182,4.3214
0.0490,0.0699,1.5997,3.3991
0.0500,0.0602,1.4784,2.3751
0.0510,0.1571,1.2336,1.8015
0.0520,-0.0772,1.1624,1.4677
0.0530,0.2062,0.7592,1.7368
0.0540,-0.3462,4.6393,3.4950
0.0550,0.2322,4.0475,3.2582
0.0560,-0.4982,2.7130,1.8470
0.0570,-0.8348,1.6133,1.6439
0.0580,-0.3287,1.6139,1.0438
0.0590,-0.4039,1.5165,0.6376
0.0600,-0.4634,0.9550,5.5373
0.0610,-0.4113,0.8557,5.1076
0.0620,-0.8429,-0.1776,3.3742
0.0630,-0.6870,4.1636,2.6665
0.0640,-0.3487,3.7294,2.1958
0.0650,-0.2254,3.1642,1.2614
0.0660,-0.1348,2.4003,9.4071
0.0670,0.3525,2.0522,7.1992
0.0680,0.2468,2.0864,6.3263
0.0690,0.3050,1.6037,5.3850
0.0700,0.4512,1.5648,4.3920
0.0710,0.5962,1.4129,3.7907
0.0720,0.9420,5.4152,9.1956
0.0730,0.4975,4.0700,7.2081
0.0740,1.1492,3.8821,6.5202
0.0750,0.5931,2.9738,5.0146
0.0760,0.5110,2.8928,4.0053
0.0770,1.1484,2.8554,3.7558
0.0780,0.1284,1.7902,5.9552
0.0790,0.2133,1.1050,4.3086
0.0800,0.1895,1.2124,3.5787
0.0810,0.1271,4.4140,2.6879
0.0820,-0.3128,3.4809,2.2013
0.0830,0.0648,2.7573,1.4319
0.0840,-0.2922,2.1774,2.6746
0.0850,-0.4650,0.5664,2.6847
0.0860,-0.6300,0.8732,1.1505
0.0870,0.1508,1.2784,1.7870
0.0880,-0.1622,0.8599,1.6410
0.0890,-0.3561,0.2988,0.3245
0.0900,-0.4394,4.2800,4.3453
0.0910,-0.5258,2.4233,3.5800
0.0920,-0.5749,2.5138,2.5788
0.0930,-0.3957,1.8746,2.3316
0.0940,-0.6530,1.0000,1.2763
0.0950,-0.6457,0.5867,0.6426
0.0960,-0.6669,0.1129,7.1977
0.0970,-0.2138,-0.0056,5.9457
0.0980,-0.6026,0.3745,4.4878
0.0990,0.0801,4.5077,4.0360
0.1000,0.2618,4.1015,3.6057
0.1010,0.3645,3.5535,3.1879
0.1020,0.0787,2.2498,9.3236
0.1030,0.6669,2.4632,8.1584
0.1040,0.6099,2.0709,6.6325
0.1050,0.6791,1.3228,5.2289
0.1060,0.3644,1.4943,4.8545
0.1070,0.6034,0.6940,3.3999
0.1080,0.6332,4.5681,8.0531
0.1090,0.6133,3.8456,6.5575
0.1100,0.4301,3.2659,4.8972
0.1110,0.3972,2.3054,4.8555
0.1120,0.2425,2.1711,3.5480
0.1130,0.1238,1.9429,2.7422
0.1140,0.2067,1.2018,3.9697
0.1150,0.2472,1.1894,3.7312
0.1160,-0.0679,0.4672,3.0478
0.1170,-0.3764,4.2076,1.8904
0.1180,-0.2043,3.5995,1.5098
0.1190,0.0341,3.4052,1.3272
0.1200,0.0992,2.4550,3.8551
0.1210,-0.5898,0.7440,2.1627
0.1220,-0.1156,1.1744,2.2474
0.1230,-0.3769,0.5005,1.1728
0.1240,-0.5557,0.4878,0.2067
0.1250,-0.7060,0.0992,0.1598
0.1260,-0.4675,4.4875,6.0170
0.1270,-0.9213,2.7949,4.1555
0.1280,-0.6571,1.9534,3.2803
0.1290,-0.6835,1.9404,2.8384
0.1300,-0.4126,1.4171,2.1313
0.1310,-0.4292,0.8050,1.9899
0.1320,-0.4489,0.8668,7.5706
0.1330,0.1613,0.6874,6.8789
0.1340,0.3746,1.4956,6.1102
0.1350,0.3011,3.9154,4.5509
0.1360,0.3917,4.2616,4.1709
0.1370,0.5516,3.3868,3.7645
0.1380,0.8240,3.1840,9.7423
0.1390,1.0741,3.1314,8.1875
0.1400,0.6656,2.0397,6.5846
0.1410,0.6035,1.8750,5.9568
0.1420,0.5035,1.3969,4.0101
0.1430,0.3474,0.7886,3.4930
0.1440,0.3304,4.7032,6.3949
0.1450,0.2937,3.9905,4.9825
0.1460,-0.2623,2.7848,4.1181
0.1470,0.4927,3.1209,3.2107
0.1480,-0.1845,1.6699,2.2184
0.1490,0.0866,1.7893,2.0739
0.1500,-0.0860,1.0759,3.6691
0.1510,-0.3774,0.8702,2.8583
0.1520,0.1626,1.1592,2.7946
0.1530,-0.4719,3.7587,1.2413
0.1540,-0.2044,3.1500,2.1195
0.1550,-0.3598,2.7362,1.0209
0.1560,-0.6700,1.8569,3.3789
0.1570,-0.8334,1.0961,2.3059
0.1580,-0.4947,1.2872,2.1448
0.1590,-0.6127,0.4778,2.1027
0.1600,-0.4496,0.3060,1.2456
0.1610,-1.0145,-0.3549,0.6375
0.1620,-0.7581,3.9640,6.4738
0.1630,-0.9733,2.2643,5.0280
0.1640,-0.6027,2.0103,4.1903
0.1650,-0.5922,1.2770,3.8275
0.1660,0.1759,1.3971,2.9683
0.1670,0.1906,1.9190,2.5902
0.1680,0.3995,1.9066,9.7121
0.1690,0.4116,1.1549,7.9429
0.1700,0.7510,1.6762,6.6710
0.1710,0.6257,5.1368,6.0804
0.1720,0.3388,3.6149,4.2365
0.1730,0.6611,2.8569,3.0893
0.1740,1.0389,2.9464,8.5798
0.1750,0.9583,2.8622,6.5709
0.1760,0.0613,1.8354,5.2152
0.1770,0.5150,2.0315,4.4407
0.1780,0.6728,1.9919,4.6135
0.1790,0.0357,0.9575,2.4534
0.1800,-0.2062,4.4038,4.2783
0.1810,0.1073,3.7789,3.4316
0.1820,0.1479,2.9378,3.5560
0.1830,-0.3333,2.0233,1.6735
0.1840,-0.4036,1.4196,1.2037
0.1850,-0.2915,1.6378,1.7856
0.1860,-0.3415,1.2181,2.9317
0.1870,-0.1770,1.1092,3.1275
0.1880,0.0998,0.7182,2.4960
0.1890,-0.5220,3.8869,1.5315
0.1900,-0.4776,3.2354,0.4459
0.1910,-0.2144,2.9455,1.2356
0.1920,-0.6093,1.7041,5.0478
0.1930,-1.0398,0.6518,3.6699
0.1940,-1.2078,-0.2226,1.9479
0.1950,-0.6741,0.8181,1.9565
0.1960,-0.7051,0.8555,1.1735
0.1970,-0.6209,-0.0732,1.7395
0.1980,-0.3006,4.3545,8.3470
0.1990,-0.7542,3.2959,6.0960
0.2000,-0.2182,3.0069,5.2102
0.2010,0.1901,2.8213,4.5834
0.2020,0.1963,1.9255,3.0207
0.2030,0.2630,2.0243,2.8636
0.2040,0.2665,2.1413,9.2621
0.2050,0.4773,0.7629,7.3326
0.2060,0.5816,1.0500,6.7983
0.2070,0.8486,5.7411,5.1891
0.2080,0.4790,4.2213,3.6019
0.2090,0.1497,3.6537,3.3160
0.2100,1.2113,3.6999,7.5263
0.2110,0.3711,1.8014,5.5528
0.2120,-0.1433,1.5133,3.4909
0.2130,0.1090,0.8967,3.0675
0.2140,-0.0949,0.7470,2.5341
0.2150,0.2312,1.2830,2.1105
0.2160,0.0793,4.5296,4.5612
0.2170,-0.1897,3.1353,2.7375
0.2180,-0.2975,2.7387,2.3134
0.2190,-0.2184,1.7171,1.6109
0.2200,-0.1963,1.7768,1.6307
0.2210,-0.2340,1.4562,1.3710
0.2220,-0.3345,1.2412,3.5106
0.2230,-0.0471,1.1117,2.8823
0.2240,-0.6512,0.3497,1.6995
0.2250,-0.8923,3.4025,1.8244
0.2260,-0.7701,3.0253,1.0948
0.2270,-1.4324,1.7093,-0.3749
0.2280,-0.5393,2.1895,6.1340
0.2290,-0.6956,1.0452,4.9462
0.2300,-0.1587,1.1327,4.8291
0.2310,-0.3099,0.9530,3.9103
0.2320,-0.1444,0.9208,2.7269
0.2330,-0.0783,0.5912,2.9585
0.2340,0.5148,4.7652,9.7378
0.2350,0.6086,4.4415,8.4289
0.2360,0.3498,3.0725,6.2614
0.2370,0.6799,3.2083,5.7451
0.2380,0.8130,2.5271,5.2084
0.2390,0.5466,2.1552,4.0004
0.2400,0.8007,2.7817,8.7299
0.2410,0.6313,1.6472,6.9659
0.2420,0.7007,1.5112,6.3664
0.2430,0.4851,4.5784,5.2309
0.2440,0.1132,3.9418,4.0492
0.2450,0.0908,2.7611,2.4986
0.2460,-0.0605,2.6062,4.7249
0.2470,0.3708,2.2943,3.8586
0.2480,-0.1068,1.5959,2.6192
0.2490,0.3329,1.5467,2.6681
0.2500,-0.0336,0.7992,2.1193
0.2510,0.1351,0.4462,0.8100
0.2520,-0.1835,4.3920,3.0337
0.2530,-0.0691,3.2962,2.7070
0.2540,0.0099,3.1725,2.5869
0.2550,0.0523,2.4257,2.3365
0.2560,-0.6609,1.2612,0.3508
0.2570,-0.9071,0.7409,0.4096
0.2580,-0.3384,1.5959,5.6198
0.2590,-0.7147,0.1583,3.3768
0.2600,-0.8359,-0.4102,2.2513
0.2610,-0.6369,3.9264,2.4203
0.2620,-0.4334,3.2432,1.7017
0.2630,-0.8775,1.3559,0.8688
0.2640,-0.1924,2.7504,8.7363
0.2650,-0.4994,1.0257,6.1129
0.2660,0.0192,1.3401,5.8449
0.2670,0.2370,1.7916,5.0131
0.2680,0.5944,1.8337,4.1481
0.2690,0.4010,1.2748,3.3386
0.2700,0.8076,5.2169,9.8411
0.2710,0.6739,3.8934,7.8890
0.2720,0.3536,3.1211,6.7398
0.2730,0.7878,2.6823,5.6191
0.2740,0.6099,2.4971,4.8743
0.2750,0.2940,1.7716,3.5153
0.2760,0.5734,2.0026,6.7158
0.2770,0.1039,1.3915,5.0540
0.2780,0.2797,1.2017,4.8082
0.2790,0.6156,5.1265,3.9275
0.2800,0.1855,4.3081,3.4148
0.2810,-0.2560,2.8162,2.1464
0.2820,0.2647,2.6678,4.1635
0.2830,-0.2147,1.9298,2.6347
0.2840,-0.3626,0.9711,1.8373
